source_doc,page,row_index,serial_or_id,date,description,attorney,produced_to_defense,notes
EFTA00010025,0,1,3502-001,2021.02.01,Notes from phone call,,2021.04.23,visual_only_manual_p00
EFTA00010025,0,2,3502-002,2021.02.01,Testimony disclosure,,2021.04.23,visual_only_manual_p00
EFTA00010025,0,3,3502-003,2021.03.03,Notes from phone call,,2021.04.23,visual_only_manual_p00
EFTA00010025,0,4,3502-004,2021.04.09,Interview notes,,2021.04.23,visual_only_manual_p00
EFTA00010025,0,5,3502-005,2021.04.21,Interview notes,,2021.04.23,visual_only_manual_p00
EFTA00010025,0,6,3502-006,,Resume,,2021.04.23,visual_only_manual_p00
EFTA00010025,0,7,3502-007,,Contract for services,,2021.04.23,visual_only_manual_p00
EFTA00010025,0,8,3502-008,2021.10.21,Notes,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,9,3502-009,2021.10.24,Notes,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,10,3502-010,2006,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,11,3502-011,2009,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,12,3502-012,2010,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,13,3502-013,2014,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,14,3502-014,2015,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,15,3502-015,2015,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,16,3502-016,2015,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,17,3502-017,2016,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,18,3502-018,2017,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,19,3502-019,2018,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,20,3502-020,2018,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,21,3502-021,2019,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,22,3502-022,2020,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,23,3502-023,2021,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,24,3502-024,2021,Article,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,25,3502-025,2021.10.25,Notes,,2021.10.25,visual_only_manual_p00
EFTA00010025,0,26,3502-026,2020,Article,,2021.11.06,visual_only_manual_p00
EFTA00010025,0,27,3502-027,2020,Article,,2021.11.06,visual_only_manual_p00
EFTA00010025,0,28,3502-028,2021.10.29,Notes,,2021.11.06,visual_only_manual_p00
EFTA00010025,0,29,3502-029,2021.10.31,Notes,,2021.11.06,visual_only_manual_p00
EFTA00010025,0,30,3502-030,2021.11.01,Notes,,2021.11.06,visual_only_manual_p00
EFTA00010025,0,31,3502-031,2021.11.02,Notes,,2021.11.06,visual_only_manual_p00
EFTA00010025,0,32,3502-032,2009,Article,,2021.11.06,visual_only_manual_p00
EFTA00010025,0,33,3502-033,2020,Article,,2021.11.06,visual_only_manual_p00
EFTA00010025,0,34,3502-034,2021,Article,,2021.11.06,visual_only_manual_p00
EFTA00010025,0,35,3502-035,2021.11.03,Notes,,2021.11.06,visual_only_manual_p00
EFTA00010025,0,36,3502-036,2021.11.04,Notes,,2021.11.06,visual_only_manual_p00
EFTA00010025,0,37,3502-037,2021.11.07,Notes,,2021.11.09,visual_only_manual_p00
EFTA00010025,0,38,3502-038,2021.11.08,Notes,,2021.11.09,visual_only_manual_p00
EFTA00010025,0,39,3502-039,2021.11.09,Notes,,2021.11.09,visual_only_manual_p00
EFTA00010025,0,40,3503-001,,Curriculum vitae,,2021.09.15,visual_only_manual_p00
EFTA00010025,0,41,3503-002,,31E-NY-3027571,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,42,3503-003,2021.08.25,Notes,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,43,3503-004,2019.08.09,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,44,3503-005,2019.08.20,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,45,3503-006,2019.08.23,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,46,3503-007,2019.09.04,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,47,3503-008,2019.09.09,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,48,3503-009,2019.09.16,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,49,3503-010,2019.09.30,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,50,3503-011,2019.10.21,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,51,3503-012,2019.11.12,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,52,3503-013,2020.02.10,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,53,3503-014,2020.03.02,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,54,3503-015,2020.03.03,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,55,3503-016,2020.03.04,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,56,3503-017,,Attachment to email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,57,3503-018,2020.03.18,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,58,3503-019,2020.03.31,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,59,3503-020,2020.04.07,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,60,3503-021,2020.05.12,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,61,3503-022,2020.05.14,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,62,3503-023,,Attachment to email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,63,3503-024,2020.05.29,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,64,3503-025,,Attachment to email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,65,3503-026,2020.06.17,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,66,3503-027,2020.06.17,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,67,3503-028,2020.06.19,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,68,3503-029,2020.06.19,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,69,3503-030,2020.06.20,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,70,3503-031,2020.06.23,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,71,3503-032,,Attachment to email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,72,3503-033,2020.07.07,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,0,73,3503-034,2020.07.07,Email,,2021.10.11,visual_only_manual_p00
EFTA00010025,1,74,3503-035,2020.07.13,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,75,3503-036,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,76,3503-037,2020.07.13,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,77,3503-038,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,78,3503-039,2020.07.13,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,79,3503-040,2020.07.13,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,80,3503-041,2020.07.13,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,81,3503-042,2020.07.14,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,82,3503-043,2020.07.14,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,83,3503-044,2020.07.14,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,84,3503-045,2020.07.15,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,85,3503-046,2020.07.15,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,86,3503-047,2020.07.20,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,87,3503-048,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,88,3503-049,2020.07.20,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,89,3503-050,2020.07.21,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,90,3503-051,2020.07.22,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,91,3503-052,2020.07.23,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,92,3503-053,2020.07.23,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,93,3503-054,2020.07.23,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,94,3503-055,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,95,3503-056,2020.07.24,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,96,3503-057,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,97,3503-058,2020.07.24,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,98,3503-059,2020.07.26,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,99,3503-060,2020.07.27,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,100,3503-061,2020.07.27,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,101,3503-062,2020.07.27,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,102,3503-063,2020.07.28,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,103,3503-064,2020.07.28,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,104,3503-065,2020.08.03,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,105,3503-066,2020.08.04,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,106,3503-067,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,107,3503-068,2020.08.04,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,108,3503-069,2020.08.19,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,109,3503-070,2020.10.02,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,110,3503-071,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,111,3503-072,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,112,3503-073,2020.10.05,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,113,3503-074,2020.10.08,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,114,3503-075,2020.10.08,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,115,3503-076,2020.10.09,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,116,3503-077,2020.10.09,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,117,3503-078,2020.10.12,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,118,3503-079,2020.10.13,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,119,3503-080,2020.10.14,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,120,3503-081,2020.10.15,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,121,3503-082,2020.10.16,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,122,3503-083,2020.10.16,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,123,3503-084,2020.10.16,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,124,3503-085,2020.10.19,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,125,3503-086,2020.10.19,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,126,3503-087,2020.10.20,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,127,3503-088,2020.10.21,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,128,3503-089,2020.10.21,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,129,3503-090,2020.10.23,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,130,3503-091,2020.10.26,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,131,3503-092,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,132,3503-093,2020.10.26,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,133,3503-094,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,134,3503-095,2020.10.26,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,135,3503-096,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,136,3503-097,2020.10.26,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,137,3503-098,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,138,3503-099,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,139,3503-100,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,140,3503-101,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,141,3503-102,2020.10.26,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,142,3503-103,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,143,3503-104,,Attachment to email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,144,3503-105,2020.10.27,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,145,3503-106,2020.10.27,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,146,3503-107,2020.10.29,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,147,3503-108,2021.04.30,Email,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,148,3504-001,2003.10.05,Palm Beach Police Report,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,149,3504-002,2003.10.05,Palm Beach Police Report,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,150,3504-003,2005.11.09,Palm Beach Police Report,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,151,3504-004,2005.11.10,Palm Beach Police Report,,2021.10.11,visual_only_manual_p01
EFTA00010025,1,152,3504-005,2005.11.10,PBPD recording,,2021.10.11,visual_only_manual_p01
EFTA00010025,2,153,3504-006,2005.11.10,Letter,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,154,3504-007,2005.11.17,Driver information,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,155,3504-008,2005.11.21,Palm Beach Police Report,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,156,3504-009,2005.11.21,[redacted] sworn statement,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,157,3504-010,2005.11.21,[redacted] sworn statement,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,158,3504-011,2005.11.21,[redacted] sworn statement,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,159,3504-012,2006.05.01,Palm Beach Police Report,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,160,3504-013,2006.05.01,Palm Beach Police Report,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,161,3504-014,2006.05.01,Palm Beach Police Report,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,162,3504-015,2006.09.26,Palm Beach Police Report,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,163,3504-016,2006.10.20,Memorandum,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,164,3504-017,2006.12.04,Driver information,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,165,3504-018,2006.12.04,Criminal history check,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,166,3504-019,2007.02.01,Letter,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,167,3504-020,2007.12.11,Letter,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,168,3504-021,2009.09.08,"Deposition, Volume I",,2021.10.11,visual_only_manual_p02
EFTA00010025,2,169,3504-022,2009.09.08,"Deposition, Volume II",,2021.10.11,visual_only_manual_p02
EFTA00010025,2,170,3504-023,2016.06.01,Deposition Exhibit 1,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,171,3504-024,2016.06.01,Deposition Exhibit 2,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,172,3504-025,2016.06.01,Deposition Exhibit 3,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,173,3504-026,2016.06.01,Deposition Exhibit 4,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,174,3504-027,2016.06.01,Deposition Exhibit 5,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,175,3504-028,2016.06.01,Deposition Exhibit 6,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,176,3504-029,2016.06.01,Deposition Exhibit 7,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,177,3504-030,2016.06.01,Deposition transcript,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,178,3504-031,2016.09.15,Sworn Affidavit,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,179,3504-032,2019.07.13,Interview 302,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,180,3504-033,2019.07.13,Notes,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,181,3504-034,2020.02.19,Interview 302,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,182,3504-035,2020.02.19,Notes,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,183,3504-036,2020.06.28,Grand jury transcript,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,184,3504-037,2020.09.28,Notes,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,185,3504-038,2021.03.29,Grand jury transcript,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,186,3504-039,2021.06.08,Notes,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,187,3504-040,2021.06.24,Notes,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,188,3504-041,2021.07.14,Notes,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,189,3504-042,,Criminal history check,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,190,3504-043,,Criminal history check,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,191,3504-044,2021.11.11,Notes,,2021.11.11,visual_only_manual_p02
EFTA00010025,2,192,3505-001,2006.12.14,Driver information,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,193,3505-002,2007.05.08,Transcript,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,194,3505-003,2007.06.07,Letter,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,195,3505-004,2007.07.03,Driver information,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,196,3505-005,2007.08.07,Interview 302,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,197,3505-006,2007.08.07,Notes,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,198,3505-007,2007.08.07,Property receipt,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,199,3505-008,2007.08.28,Declaration,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,200,3505-009,2007.09.07,Driver information,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,201,3505-010,2007.09.07,Criminal history check,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,202,3505-011,2007.09.07,Driver information,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,203,3505-012,2007.09.07,Criminal history check,,2021.10.11,visual_only_manual_p02
EFTA00010025,2,204,3505-013,2007.09.07,Criminal history check,,2021.10.11,visual_only_manual_p02
